Número,Nombre,Empresa,Catalogo,Foto,Observaciones,Ubicación
1,Aceite de inmersión tipo A,MEYER,5037,,,Repisa de reactivos
2,Acetato de violeta de cresilo,Spectrum Chemical,CR125,,,Repisa de reactivos
2B,Acetato de violeta de cresilo,SIGMA ,C5042,,,Repisa de reactivos
4,Ácido fosfowolfrámico,MERCK,6020B,,,Repisa de reactivos
5,Ácido oxálico,MEYER,5305,,,Repisa de reactivos
5b,Ácido oxálico,,,,,Repisa de reactivos
6,Ácido periódico 99%,SIGMA ,375810,,,Repisa de reactivos
8,Azul alcian,EMS,10350,,,Repisa de reactivos
9,Azul alcian,EMS,10350,,,Repisa de reactivos
10,Azul de bromofenol,MERCKS Reagenzien,8122,,,Repisa de reactivos
11,Azul de Evans reactivo,Meyer,0723,,,Repisa de reactivos
12,Azul de metileno,Gurrs,14911,,,Repisa de reactivos
14,Azul de toluidina,MERCK,1273,,,Repisa de reactivos
15,Bismarck brown Y,,,,,Repisa de reactivos
16,Carmín de Índigo,EMS,16910,,,Repisa de reactivos
17,Cloruro de Potasio,Mallinckrodt,6858,,,Repisa de reactivos
18,Cloruro de Sodio,MEYER,2365,,,Repisa de reactivos
19,Cloruro de Sodio,JT Baker,3624-01,,,Repisa de reactivos
20,Cloruro de Sodio,,,,,Repisa de reactivos
21,Cloruro de Sodio,,,,,Repisa de reactivos
22,Colorante rojo nuclear,Hycel de México,7702,,,Repisa de reactivos
23,Colorante  rojo oleoso,Hycel de México,3225,,,Repisa de reactivos
24,Colorante de Giemsa,Técnica química SA,,,,Repisa de reactivos
25,Colorante verde brillante,SIGMA ,42040,,,Repisa de reactivos
26,"Eosina ""Y""",MEYER,1240,,,Repisa de reactivos
27,"Eosina ""Y""",Research Organics,3013E,,,Repisa de reactivos
28,Escarlata Biebrich ,SIGMA ,248,,,Repisa de reactivos
29,Etilendinitrilotetracetato Disódico ,JT Baker,8993,,,Repisa de reactivos
30,Etilendinitrilotetracetato Disódico ,JT Baker,8993,,,Repisa de reactivos
31,Fosfato de Potasio Monobásico,MEYER,2055,,,Repisa de reactivos
31B,Fosfato de Potasio Monobásico,SIGMA ,P0662,,,Repisa de reactivos
32,Fosfato de Potasio Dibásico,JT Baker,,,,Repisa de reactivos
33,Fosfato de Potasio Dibásico,MEYER,2050,,,Repisa de reactivos
33B,Fosfato de Potasio Dibásico,MEYER,2050,,,Repisa de reactivos
34,Fosfato de Sodio Monobásico,Herschi Trading,,,,Repisa de reactivos
34B,Fosfato de Sodio Monobásico,MEYER,2415,,,Repisa de reactivos
